date,location,state,airline,aircraft_brand,no_deaths,no_survivors,no_ground_casualties
05-08-1934,Bahia, Brazil,Air France,Latecoere,2,0,0
10-08-1934,Ningbo, China,China National Aviation Corporation,Sikorsky,0,0,0
31-08-1934,Amazonia, Missouri,Rapid Air Transport,Stinson,5,0,0
02-10-1934,neznama,neznama,Hillman's Airways,de,7,0,0
03-10-1934,Near Winton, Australia,Qantas,de,3,0,0
19-10-1934,Bass Strait, Australia,Holymans Airways,de,11,0,0
02-11-1934,Kiapit, Australia,Holdens Air Transport Service,De,2,2,0
15-11-1934,Amazonia, Montana,Rapid Air Transport,Stinson,2,0,0
15-11-1934,Near Longreach, Australia,Qantas,de,4,0,0
07-12-1934,Salchau, Germany,Deutsche Lufthansa,Junkers,3,0,0
08-12-1934,Columbia, Missouri,Braniff Airlines,Lockheed,1,0,0
10-12-1934,Palma Soriano, Cuba,Cubana de Aviacion,Ford,4,4,0
20-12-1934,Rutbah Wells, Syria,KLM Royal Dutch Airlines,Douglas,7,0,0
22-12-1934,Sunbright, Tennessee,American Airlines,Lockheed,1,0,0
31-12-1934,neznama,neznama,Aeroflot,Tupolev,10,0,0
08-01-1935,Near Karachi, Pakistan,Indian Air Force,Wapiti?,0,2,15
26-01-1935,Pittsburgh, Pennsylvania,Trans Continental and Western Air,Consolidated,1,0,0
31-01-1935,Stettin, Germany,Deruluft,Junkers,11,0,0
12-02-1935,Off Point Sur, Californiia,Military - US Navy,Goodyear-Zeppelin,2,81,0
07-03-1935,Schievelbein, Germany,Deruluft,Rochrbach,0,3,0
15-03-1935,El Arish, Egypt,Misrair,de,3,3,0
29-03-1935,Off Samland, Germany,Deutsche Lufthansa,Junkers,5,0,0
01-04-1935,Beauvais, France,Air France,Farman,1,2,0
06-04-1935,Brilon, Germany,KLM Royal Dutch Airlines,Fokker,7,0,0
01-05-1935,Near Walsenberg, Colorado,Varney Air Lines,Lockheed,1,0,0
06-05-1935,Atlanta, Missouri,Trans Continental and Western Air,Douglas,5,9,0
18-05-1935,Near Moscow, Russia,Gor'ky Eskadril'ya,Tupolev,50,0,2
18-05-1935,Flint, Michigan,Knowles Flying Service of Detroit,Ford,3,9,0
27-05-1935,Glendo, Wyoming,Wyoming Air Service,Boeing,1,0,0
28-05-1935,Maywood, Illinois,Chicago and Southern Airlines,Stinson,2,0,0
29-05-1935,San Barbra, Honduras,?,??,6,3,0
24-06-1935,Medellin, Colombia,Servicio Aereo Columbiano / SCADTA,Ford,17,3,0
14-07-1935,Amsterdam, Netherlands,KLM Royal Dutch Airlines,Fokker,6,14,0
19-07-1935,Off Chandeleur Island, Mississippi,Wedell-Williams Air Service Corporation,General,2,0,0
20-07-1935,Pian Giacomo, Switzerland,KLM Royal Dutch Airlines,Douglas,13,0,0
23-07-1935,Cardiff, United Kingdom,Jersey Airways,de,1,7,0
28-07-1935,El Retiro, Colombia,Fuerza Aerea Colombiana,Junkers,5,0,0
07-08-1935,Cairo, Egypt,Ala Littoria,Savoia-Marchetti,7,0,0
13-08-1935,Hangow, China,China National Aviation Corporation,Sikorsky,0,0,0
14-08-1935,Near Gilmer, Texas,Delta Air Lines,Stinson,4,0,0
15-08-1935,neznama,neznama,Private,Lockheed,2,0,0
15-08-1935,Near Glendo, Wyoming,Aero Mayflower Transit Co,"Waco,",3,0,0
01-09-1935,Burbank, California,Western Air Express,Boeing,3,0,0
13-09-1935,Near Tambo, Panama,Panama Airways,Ford,8,0,0
02-10-1935,neznama,neznama,Holyman Airways,de,5,0,0
07-10-1935,Near Cheyenne, Wyoming,United Air Lines,Boeing,12,0,0
09-10-1935,neznama,neznama,Aero O-Y,Junkers,6,0,0
21-10-1935,Troy, New York,Chamberlin Flying Service,Curtiss,1,5,0
30-10-1935,Cheyenne, Wyoming,United Air Lines,Boeing,4,0,0
02-11-1935,Off Nhambupe, Brazil,Air France,Latécoère,4,0,0
09-11-1935,Near Fort Worth, Texas,Braniff Airlines,Lockheed,1,0,0
09-11-1935,Brindisi, Italy,Imperial Airways,Short,12,1,0
11-11-1935,Istres, France,Air France,Latecoere,3,0,0
04-12-1935,Tours, France,Air Bleu,Caudron,1,1,0
10-12-1935,Croydon, England,Sabena,Savoia-Marchetti,11,0,0
24-12-1935,Wroctaw, Poland,Deutsche Lufthansa,Heinkel,3,0,0
